NO,Plant Name(SC),Planr Name(Common),Plant Name(Pet),Plant Link,Plant Size
144,Aloe Camperi ,Purple Aloe,Miniature Aloe vera/Purple,https://en.m.wikipedia.org/wiki/Aloe_vera,"(2""-3"")"
145,Gasteria Bicolor Liliputana,Miniature Aloe,,,"(1.5""-2"")"
146,Crassula ovata verigated,Tricolour jade,Tricolour jade,https://en.m.wikipedia.org/wiki/Crassula_ovata,"(2""-3"")"
147,Crassula ovata ,jade big leaf,jade big leaf,https://en.m.wikipedia.org/wiki/Crassula_ovata,"(2""-3"")"
148,Hedera rhombea,Common ivy,Common ivy,,"(2""-3"")"
149,Hedera helix ,English ivy Green,English ivy Green,https://en.m.wikipedia.org/wiki/Hedera_helix,"(2""-3"")"
150,alligator plant,mother of thousands,mother of thousands,,"(2""-3"")"
151,Peperomia caperata/ green,Pepromia Grey,emerald ripple peperomia,,"(2""-3"")"
152,Ophiopogon japonicus,lilyturf,dwarf lilyturf,,"(2""-3"")"
153,Aeonium arboreum/verigated,Aeonium Verigated,Irish rose,,"(2""-3"")"
154,Peperomia rubella,,,,"(2""-3"")"
155,Rebutia,Ball Flower,,,"(2""-3"")"
156,Echeveria prolifica,Close Fingure,,,"(2""-3"")"
157,Kalanchoe daigremontiana,devil's backbone,devil's backbone,,"(2""-3"")"
158,Aeonium haworthii,Aeonium Draft,pinwheel,,"(2""-3"")"
159,Red Tip (Big),Red Tip (Big),,,
160,Echeviria (Big),Echeviria (Big),,,
161,,portulaka(green),,,
162,,needle sedum,,,
