S.No,Plant Name(SC),Plant Name(Common),price,visible,discount
152,Ophiopogon japonicus,lilyturf,100,FALSE,10
153,Aeonium arboreum/verigated,Aeonium Verigated,150,TRUE,30
154,Peperomia rubella,,100,FALSE,0
155,Rebutia,Ball Flower,150,TRUE,30
156,Echeveria prolifica,Close Fingure,120,TRUE,30
157,Kalanchoe daigremontiana,devil's backbone,80,FALSE,0
158,Aeonium haworthii,Aeonium Draft,100,FALSE,20
159,Red Tip (Big),Red Tip (Big),200,TRUE,50
160,Echeviria (Big),Echeviria (Big),200,TRUE,50
161,,portulaka(green),80,TRUE,20
162,,needle sedum,120,TRUE,20
,,,200,FALSE,50
